06-003,06-015,06-030,06-041,06-049,06-079,06-090
06-009,06-016,06-034,06-042,06-051,06-082,06-091
06-001,06-018,06-036,06-044,06-072,06-083,06-093
06-002,06-029,06-040,06-046,06-077,06-085,06-095
08-005,08-017,08-033,08-048,08-053,08-079,08-120
08-007,08-018,08-043,08-050,08-059,08-082,08-123
08-008,08-024,08-045,08-051,08-075,08-095,08-125
08-015,08-031,08-046,08-052,08-077,08-118,08-132
09-002,09-009,09-013,09-046,09-053,09-107,09-090
09-006,09-010,09-015,09-048,09-072,09-073,09-093
09-007,09-011,09-018,09-050,09-099,09-084,09-142
09-008,09-012,09-042,09-052,09-106,09-089,09-143
10-011,10-048,10-068,10-079,10-100,10-204,10-326
10-023,10-049,10-001,10-091,10-122,10-223,10-327
10-024,10-055,10-005,10-093,10-134,10-287,10-241
10-038,10-058,10-075,10-097,10-202,10-310,10-259
11-002,11-038,11-138,11-162,11-093,11-115,11-189
11-013,11-039,11-140,11-163,11-094,11-116,11-200
11-022,11-040,11-142,11-181,11-097,11-124,11-257
11-025,11-137,11-153,11-001,11-103,11-127,11-258
12-005,12-023,12-042,12-054,12-061,12-086,12-134
12-009,12-025,12-045,12-056,12-062,12-106,12-163
12-011,12-029,12-048,12-057,12-064,12-131,12-195
12-020,12-030,12-051,12-059,12-082,12-132,12-198
13-015,13-030,13-099,13-115,13-147,13-165,13-178
13-024,13-040,13-103,13-138,13-152,13-167,13-190
13-027,13-075,13-111,13-139,13-161,13-171,13-191
13-028,13-098,13-113,13-142,13-162,13-175,13-192
14-022,14-074,14-082,14-109,14-127,14-180,14-188
14-024,14-077,14-091,14-118,14-148,14-181,14-202
14-033,14-078,14-092,14-124,14-162,14-182,14-217
14-046,14-080,14-101,14-125,14-164,14-183,14-240
15-006,15-026,15-044,15-099,15-139,15-199,15-215
15-013,15-031,15-060,15-108,15-174,15-202,15-223
15-014,15-034,15-072,15-109,15-175,15-207,15-251
15-022,15-035,15-085,15-123,15-197,15-209,15-255
16-268,16-062,16-186,16-218,16-285,16-305,16-326
16-008,16-066,16-188,16-257,16-293,16-306,16-338
16-036,16-184,16-212,16-258,16-298,16-311,16-339
16-038,16-185,16-213,16-270,16-301,16-317,16-372
17-016,17-062,17-072,17-095,17-112,17-160,17-204
17-018,17-064,17-073,17-098,17-113,17-162,17-205
17-053,17-065,17-083,17-103,17-142,17-173,17-206
17-058,17-067,17-088,17-111,17-158,17-198,17-209
18-003,18-008,18-017,18-027,18-035,18-041,18-050
18-004,18-011,18-023,18-028,18-036,18-044,18-051
18-005,18-012,18-024,18-029,18-037,18-045,18-058
18-007,18-016,18-026,18-032,18-038,18-049,18-060
06-096,09-146,11-259,13-231,15-257,17-340,07-118
06-099,09-147,11-265,13-244,15-300,17-301,18-073
08-133,10-268,12-401,14-242,16-374,18-070,18-087
08-001,10-270,12-171,14-243,16-375,07-110,18-098
07-145,07-020,07-032,07-045,07-061,07-082,07-095
07-009,07-021,07-037,07-052,07-064,07-085,07-096
07-018,07-029,07-038,07-053,07-069,07-091,07-106
07-019,07-031,07-044,07-054,07-071,07-092,07-108
18-062,18-072,18-085,18-090,18-074,18-089,18-099
18-069,18-071,18-084,18-093,,,
